track_id,title,song_id,release,artist_id,artist_mbid,artist_name,duration,artist_familiarity,artist_hotttnesss,year,song_hotttnesss,tempo,danceability,energy,loudness,song_key,key_confidence,song_mode,mode_confidence,time_signature,time_signature_confidence,track_7digitalid,shs_perf,shs_work
TRMLAMB128F427ED22,When Can I Change My Clothes,SOMBXKB12A8C1381DE,"The Vintage Recordings 1930 - 1940 ""Aberdeeen Mississippi Blues",ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,172.61669,0.572470888,0.430055177,1940,0.732224396,78.922,0,0,-13.206,11,0.015,1,0.559,1,0,1034197,-1,0
TRNGZNW128F423BFCC,A String Of Pearls,SOBYUFU12A8AE492D1,Instrumental-Hits in Gold,ARGM6BX1187FB37248,ce8cacb6-c917-41f5-b403-8fb601c89e70,The Glenn Miller Orchestra,210.18077,0.516124104,0.408037559,1941,0.327736683,122.595,0,0,-10.226,5,0.695,1,0.591,4,1,2036264,-1,0
TRNYBDK128F92CA200,Raised To My Hand,SOAFLYB12A8C141ED8,Diggin' Deeper Volume 2,ARGQKF21187B9BA4D8,8d835405-44cb-49ea-b223-d5f91e109b22,Arthur Crudup,184.00608,0.517486975,0.3712872,1942,0.400039657,80.642,0,0,-19.685,8,0.87,1,0.64,3,0.661,3568714,-1,0
TRFDNKN128F149378F,Las Marionetas,SONETYU12A6D4F8F41,Edición Aniversario,ARDEPNC12454A4773A,,Osvaldo Pugliese,142.57587,0.473084795,0,1943,0.215080319,122.733,0,0,-10.299,7,0.648,1,0.689,4,0,549763,-1,0
TRZXOWC128F930341A,I Wonder,SOCJILC12AB017EE81,California - The Blues,ARUASN71187B9A333B,0f1efdfd-bd20-4ced-aae4-5f136fc8cdeb,Cecil Gant,163.05587,0.271046792,0.344758887,1944,0.201046978,68.233,0,0,-25.696,3,0.542,1,0.493,3,0.547,5901888,-1,0
TRFCWYV128F429FB4E,Cool Disposition,SOAGKUZ12A8C141364,"Arthur ""Big Boy"" Crudup Vol. 1 1941-1946",ARGQKF21187B9BA4D8,8d835405-44cb-49ea-b223-d5f91e109b22,"Arthur ""Big Boy"" Crudup",190.11873,0.517486975,0.3712872,1945,0.557187768,104.67,0,0,-18.424,9,0.833,1,0.605,3,1,1873364,-1,0
TRIDLRB128F931915E,Drinkin' By Myself,SOYKBSB12AB017C4F7,Dig This Boogie,ARHIE1I1187B98E033,8f852f3d-7ebd-4177-9a06-dbde10533563,Wynonie Harris,160.93995,0.511176326,0.34953135,1946,0.334706549,152.328,0,0,-23.548,5,0.574,0,0.495,4,1,5992516,-1,0
TRJCCRQ128F4249BE1,Smoke! Smoke! Smoke! (That Cigarette),SOJDJAD12A58A7FCEA,Smoke! Smoke! Smoke!,ARPFKK81187B99878D,52889ea9-1c52-487e-95a4-8c53f8322ca2,Tex Williams,174.00118,0.425883322,0.313647771,1947,0.670347008,85.315,0,0,-11.408,9,0.709,1,0.489,5,0.331,3028781,-1,0
TRZTXQP128F932E920,Deck Of Cards,SOFXQOO12A6D4F968F,Boots And Saddles,ARAJ65Z1187B9B35A9,cbf86c72-6d17-4c87-9f85-737ea032465e,T. Texas Tyler,181.62893,0.372692934,0,1948,0.386790177,76.897,0,0,-22.437,6,0.522,1,0.387,5,0.55,5147064,-1,0
TRJJEUX128F4251C3A,Room Full Of Roses,SOOSSTU12A8C1338EC,Tico Tico,AREE97Z1187FB593C5,e22f0c33-e597-4211-9bc9-79ae9085980f,George Morgan,167.02649,0.346561583,0.343678095,1949,0.591754161,112.851,0,0,-14.924,11,0.183,1,0.344,4,0.783,1513233,-1,0
